kontostand,dauer,kredithistorie,zweck,kreditbetrag,ersparnisse,beschaeftigt_seit,rate_vs_einkommen,geschlecht,mitschuldner,meldeadresse_seit,vermoegen,alter,verpflichtungen,wohnung,bestehende_kredite,job,unterhaltspflichtig,telefon,ergebnis,status
Kein Konto,9,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,1478,weniger als 100,zwischen 4 und 7 Jahren,4,maennlich,keine,2,Auto,22,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,2,single
im Dispo,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,3149,weniger als 100,weniger als 1 Jahr,4,maennlich,keine,1,unbekannt / kein Vermoegen,22,Bank,kostenlos,1,Facharbeiter / Beamter,1,nein,1,single
mehr als 200 DM,36,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,4210,weniger als 100,zwischen 1 und 4 Jahren,4,maennlich,keine,2,Auto,26,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,2,single
Kein Konto,9,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,2507,zwischen 500 und 1.000,laenger als 7 Jahre,2,maennlich,keine,4,unbekannt / kein Vermoegen,51,keine,kostenlos,1,ungelernt / angestellt,1,nein,1,single
Kein Konto,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,2141,zwischen 100 und 500,zwischen 4 und 7 Jahren,3,maennlich,keine,1,unbekannt / kein Vermoegen,35,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
unter 200 DM,18,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,866,weniger als 100,zwischen 1 und 4 Jahren,4,maennlich,Buerge,2,unbekannt / kein Vermoegen,25,keine,Eigentum,1,ungelernt / angestellt,1,nein,1,verheiratet / verwitwet
Kein Konto,4,Kritisches Konto / Kredite bei anderer Bank,Unterhaltungselektronik,1544,weniger als 100,zwischen 4 und 7 Jahren,2,maennlich,keine,1,unbekannt / kein Vermoegen,42,keine,Eigentum,3,ungelernt / angestellt,2,nein,1,single
im Dispo,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,1823,weniger als 100,arbeitslos,4,maennlich,keine,2,Auto,30,Laden,Eigentum,1,"Management, selbstaendig, hochqualifiziert",2,nein,2,single
unter 200 DM,6,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,14555,unbekannt / kein Konto,arbeitslos,1,maennlich,keine,2,Immobilien,23,keine,Eigentum,1,ungelernt/nicht angestellt,1,ja,2,single
unter 200 DM,21,Alle Kredite bei dieser Bank puenktlich bezahlt,Geschaeft,2767,zwischen 100 und 500,laenger als 7 Jahre,4,maennlich,keine,2,Auto,61,Bank,Miete,2,ungelernt / angestellt,1,nein,2,geschieden / getrennt
Kein Konto,12,Kritisches Konto / Kredite bei anderer Bank,Unterhaltungselektronik,1291,weniger als 100,zwischen 1 und 4 Jahren,4,weiblich,keine,2,Immobilien,35,keine,Eigentum,2,Facharbeiter / Beamter,1,nein,1,single
im Dispo,30,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,2522,weniger als 100,laenger als 7 Jahre,1,maennlich,Buerge,3,Immobilien,39,keine,Eigentum,1,Facharbeiter / Beamter,2,nein,1,single
im Dispo,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,915,unbekannt / kein Konto,laenger als 7 Jahre,4,weiblich,keine,2,Auto,29,Bank,Eigentum,1,Facharbeiter / Beamter,1,nein,2,single
Kein Konto,6,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,1595,weniger als 100,zwischen 4 und 7 Jahren,3,maennlich,keine,2,Immobilien,51,keine,Eigentum,1,Facharbeiter / Beamter,2,nein,1,single
im Dispo,48,Kritisches Konto / Kredite bei anderer Bank,Gebrauchtwagen,4605,weniger als 100,laenger als 7 Jahre,3,maennlich,keine,4,unbekannt / kein Vermoegen,24,keine,kostenlos,2,Facharbeiter / Beamter,2,nein,2,single
Kein Konto,12,Kritisches Konto / Kredite bei anderer Bank,Geschaeft,1185,weniger als 100,zwischen 1 und 4 Jahren,3,weiblich,keine,2,unbekannt / kein Vermoegen,27,keine,Eigentum,2,Facharbeiter / Beamter,1,nein,1,single
Kein Konto,12,keine Kredite/puenktliche Zahlung,Umschulung,3447,zwischen 500 und 1.000,zwischen 1 und 4 Jahren,4,weiblich,keine,3,unbekannt / kein Vermoegen,35,keine,Eigentum,1,ungelernt / angestellt,2,nein,1,single
Kein Konto,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Geschaeft,1258,weniger als 100,zwischen 4 und 7 Jahren,4,maennlich,keine,1,unbekannt / kein Vermoegen,25,keine,Eigentum,1,Facharbeiter / Beamter,1,ja,1,single
Kein Konto,12,Kritisches Konto / Kredite bei anderer Bank,Unterhaltungselektronik,717,weniger als 100,laenger als 7 Jahre,4,maennlich,keine,4,unbekannt / kein Vermoegen,52,keine,Eigentum,3,Facharbeiter / Beamter,1,nein,1,single
Kein Konto,6,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,1204,zwischen 100 und 500,zwischen 1 und 4 Jahren,4,maennlich,keine,1,unbekannt / kein Vermoegen,35,Bank,Miete,1,Facharbeiter / Beamter,1,nein,1,single
mehr als 200 DM,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,1925,weniger als 100,zwischen 1 und 4 Jahren,2,maennlich,keine,2,unbekannt / kein Vermoegen,26,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
Kein Konto,18,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,433,weniger als 100,arbeitslos,3,weiblich,weiterer Kreditnehmer,4,unbekannt / kein Vermoegen,22,keine,Miete,1,Facharbeiter / Beamter,1,nein,2,single
im Dispo,6,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,666,ueber 1.000,zwischen 4 und 7 Jahren,3,weiblich,keine,4,unbekannt / kein Vermoegen,39,keine,Eigentum,2,ungelernt / angestellt,1,ja,1,single
mehr als 200 DM,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,2251,weniger als 100,zwischen 1 und 4 Jahren,1,weiblich,keine,2,Auto,46,keine,Eigentum,1,ungelernt / angestellt,1,nein,1,single
unter 200 DM,30,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,2150,weniger als 100,zwischen 1 und 4 Jahren,4,weiblich,Buerge,2,unbekannt / kein Vermoegen,24,Bank,Eigentum,1,Facharbeiter / Beamter,1,nein,2,single
Kein Konto,24,Bestehender Kredit wird puenktlich bedient,Moebel,4151,zwischen 100 und 500,zwischen 1 und 4 Jahren,2,maennlich,keine,3,Immobilien,35,keine,Eigentum,2,Facharbeiter / Beamter,1,nein,1,single
unter 200 DM,9,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,2030,unbekannt / kein Konto,zwischen 4 und 7 Jahren,2,maennlich,keine,1,Auto,24,keine,Eigentum,1,Facharbeiter / Beamter,1,ja,1,single
unter 200 DM,60,Bestehender Kredit wird puenktlich bedient,Unterhaltungselektronik,7418,unbekannt / kein Konto,zwischen 1 und 4 Jahren,1,maennlich,keine,1,unbekannt / kein Vermoegen,27,keine,Eigentum,1,ungelernt / angestellt,1,nein,1,single
Kein Konto,24,Kritisches Konto / Kredite bei anderer Bank,Unterhaltungselektronik,2684,weniger als 100,zwischen 1 und 4 Jahren,4,maennlich,keine,2,unbekannt / kein Vermoegen,35,keine,Eigentum,2,ungelernt / angestellt,1,nein,1,single
im Dispo,12,keine Kredite/puenktliche Zahlung,Unterhaltungselektronik,2149,weniger als 100,zwischen 1 und 4 Jahren,4,maennlich,keine,1,unbekannt / kein Vermoegen,29,keine,kostenlos,1,Facharbeiter / Beamter,1,nein,2,geschieden / getrennt
Kein Konto,15,Alle Kredite bei dieser Bank puenktlich bezahlt,Gebrauchtwagen,3812,zwischen 100 und 500,weniger als 1 Jahr,1,weiblich,keine,4,Auto,23,keine,Eigentum,1,Facharbeiter / Beamter,1,ja,1,single
Kein Konto,11,Kritisches Konto / Kredite bei anderer Bank,Unterhaltungselektronik,1154,zwischen 100 und 500,arbeitslos,4,weiblich,keine,4,unbekannt / kein Vermoegen,57,keine,Eigentum,3,ungelernt / angestellt,1,nein,1,single
im Dispo,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,1657,weniger als 100,zwischen 1 und 4 Jahren,2,maennlich,keine,2,unbekannt / kein Vermoegen,27,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
im Dispo,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,1603,weniger als 100,laenger als 7 Jahre,4,weiblich,keine,4,Auto,55,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
im Dispo,18,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,5302,weniger als 100,laenger als 7 Jahre,2,maennlich,keine,4,unbekannt / kein Vermoegen,36,keine,kostenlos,3,"Management, selbstaendig, hochqualifiziert",1,ja,1,single
Kein Konto,12,Kritisches Konto / Kredite bei anderer Bank,Ausbildung,2748,weniger als 100,laenger als 7 Jahre,2,weiblich,keine,4,unbekannt / kein Vermoegen,57,Bank,kostenlos,3,ungelernt / angestellt,1,nein,1,single
Kein Konto,10,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,1231,weniger als 100,laenger als 7 Jahre,3,maennlich,keine,4,unbekannt / kein Vermoegen,32,keine,Eigentum,2,ungelernt / angestellt,2,nein,1,single
unter 200 DM,15,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,802,weniger als 100,laenger als 7 Jahre,4,maennlich,keine,3,Auto,37,keine,Eigentum,1,Facharbeiter / Beamter,2,nein,2,single
Kein Konto,36,Kritisches Konto / Kredite bei anderer Bank,Geschaeft,6304,unbekannt / kein Konto,laenger als 7 Jahre,4,maennlich,keine,4,unbekannt / kein Vermoegen,36,keine,Eigentum,2,Facharbeiter / Beamter,1,nein,1,single
Kein Konto,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,1533,weniger als 100,weniger als 1 Jahr,4,weiblich,keine,3,Auto,38,Laden,Eigentum,1,Facharbeiter / Beamter,1,ja,1,single
im Dispo,14,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,8978,weniger als 100,laenger als 7 Jahre,1,maennlich,keine,4,Immobilien,45,keine,Eigentum,1,"Management, selbstaendig, hochqualifiziert",1,ja,2,geschieden / getrennt
Kein Konto,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,999,unbekannt / kein Konto,laenger als 7 Jahre,4,maennlich,keine,2,Auto,25,keine,Eigentum,2,Facharbeiter / Beamter,1,nein,1,single
Kein Konto,18,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,2662,unbekannt / kein Konto,zwischen 4 und 7 Jahren,4,maennlich,keine,3,Immobilien,32,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
Kein Konto,12,Kritisches Konto / Kredite bei anderer Bank,Moebel,1402,zwischen 500 und 1.000,zwischen 4 und 7 Jahren,3,weiblich,keine,4,Auto,37,keine,Miete,1,Facharbeiter / Beamter,1,ja,1,single
unter 200 DM,48,keine Kredite/puenktliche Zahlung,Neuwagen,12169,unbekannt / kein Konto,arbeitslos,4,maennlich,weiterer Kreditnehmer,4,unbekannt / kein Vermoegen,36,keine,kostenlos,1,"Management, selbstaendig, hochqualifiziert",1,ja,1,single
unter 200 DM,48,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,3060,weniger als 100,zwischen 4 und 7 Jahren,4,maennlich,keine,4,unbekannt / kein Vermoegen,28,keine,Eigentum,2,Facharbeiter / Beamter,1,nein,2,single
im Dispo,30,Alle Kredite bei dieser Bank puenktlich bezahlt,Reparaturen,11998,weniger als 100,weniger als 1 Jahr,1,maennlich,keine,1,unbekannt / kein Vermoegen,34,keine,Eigentum,1,ungelernt / angestellt,1,ja,2,geschieden / getrennt
Kein Konto,9,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,2697,weniger als 100,zwischen 1 und 4 Jahren,1,maennlich,keine,2,unbekannt / kein Vermoegen,32,keine,Eigentum,1,Facharbeiter / Beamter,2,nein,1,single
Kein Konto,18,Kritisches Konto / Kredite bei anderer Bank,Unterhaltungselektronik,2404,weniger als 100,zwischen 1 und 4 Jahren,2,weiblich,keine,2,Auto,26,keine,Eigentum,2,Facharbeiter / Beamter,1,nein,1,single
im Dispo,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,1262,unbekannt / kein Konto,laenger als 7 Jahre,2,maennlich,keine,4,Immobilien,49,keine,Eigentum,1,ungelernt / angestellt,1,ja,1,geschieden / getrennt
Kein Konto,6,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,4611,weniger als 100,weniger als 1 Jahr,1,weiblich,keine,4,Immobilien,32,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,2,single
Kein Konto,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,1901,zwischen 100 und 500,zwischen 1 und 4 Jahren,4,maennlich,keine,4,Auto,29,keine,Miete,1,"Management, selbstaendig, hochqualifiziert",1,ja,1,single
Kein Konto,15,Kritisches Konto / Kredite bei anderer Bank,Gebrauchtwagen,3368,ueber 1.000,laenger als 7 Jahre,3,maennlich,keine,4,unbekannt / kein Vermoegen,23,keine,Miete,2,Facharbeiter / Beamter,1,ja,1,single
Kein Konto,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,1574,weniger als 100,zwischen 1 und 4 Jahren,4,maennlich,keine,2,unbekannt / kein Vermoegen,50,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
mehr als 200 DM,18,keine Kredite/puenktliche Zahlung,Unterhaltungselektronik,1445,unbekannt / kein Konto,zwischen 4 und 7 Jahren,4,maennlich,keine,4,Auto,49,Bank,Eigentum,1,ungelernt / angestellt,1,nein,1,single
Kein Konto,15,Kritisches Konto / Kredite bei anderer Bank,Moebel,1520,unbekannt / kein Konto,laenger als 7 Jahre,4,maennlich,keine,4,Immobilien,63,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
unter 200 DM,24,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,3878,zwischen 100 und 500,weniger als 1 Jahr,4,maennlich,keine,2,Auto,37,keine,Eigentum,1,Facharbeiter / Beamter,1,ja,1,geschieden / getrennt
im Dispo,47,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,10722,weniger als 100,weniger als 1 Jahr,1,weiblich,keine,1,unbekannt / kein Vermoegen,35,keine,Eigentum,1,ungelernt / angestellt,1,ja,1,single
im Dispo,48,Alle Kredite bei dieser Bank puenktlich bezahlt,Gebrauchtwagen,4788,weniger als 100,zwischen 4 und 7 Jahren,4,maennlich,keine,3,Immobilien,26,keine,Eigentum,1,Facharbeiter / Beamter,2,nein,1,single
unter 200 DM,48,Bestehender Kredit wird puenktlich bedient,Anderes,7582,zwischen 100 und 500,arbeitslos,2,maennlich,keine,4,unbekannt / kein Vermoegen,31,keine,kostenlos,1,"Management, selbstaendig, hochqualifiziert",1,ja,1,single
unter 200 DM,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,1092,weniger als 100,zwischen 1 und 4 Jahren,4,weiblich,Buerge,4,unbekannt / kein Vermoegen,49,keine,Eigentum,2,Facharbeiter / Beamter,1,ja,1,single
im Dispo,24,Bestehender Kredit wird puenktlich bedient,Unterhaltungselektronik,1024,weniger als 100,weniger als 1 Jahr,4,maennlich,keine,4,unbekannt / kein Vermoegen,48,Laden,Eigentum,1,Facharbeiter / Beamter,1,nein,2,verheiratet / verwitwet
Kein Konto,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Geschaeft,1076,weniger als 100,zwischen 1 und 4 Jahren,2,maennlich,keine,2,unbekannt / kein Vermoegen,26,keine,Eigentum,1,Facharbeiter / Beamter,1,ja,1,verheiratet / verwitwet
unter 200 DM,36,Alle Kredite bei dieser Bank puenktlich bezahlt,Gebrauchtwagen,9398,weniger als 100,weniger als 1 Jahr,1,maennlich,keine,4,Auto,28,keine,Miete,1,"Management, selbstaendig, hochqualifiziert",1,ja,2,verheiratet / verwitwet
im Dispo,24,Kritisches Konto / Kredite bei anderer Bank,Gebrauchtwagen,6419,weniger als 100,laenger als 7 Jahre,2,weiblich,keine,4,unbekannt / kein Vermoegen,44,keine,kostenlos,2,"Management, selbstaendig, hochqualifiziert",2,ja,1,single
mehr als 200 DM,42,Kritisches Konto / Kredite bei anderer Bank,Gebrauchtwagen,4796,weniger als 100,laenger als 7 Jahre,4,maennlich,keine,4,unbekannt / kein Vermoegen,56,keine,kostenlos,1,Facharbeiter / Beamter,1,nein,1,single
Kein Konto,48,Kritisches Konto / Kredite bei anderer Bank,Geschaeft,7629,unbekannt / kein Konto,laenger als 7 Jahre,4,maennlich,keine,2,Auto,46,Bank,Eigentum,2,"Management, selbstaendig, hochqualifiziert",2,nein,1,geschieden / getrennt
unter 200 DM,48,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,9960,weniger als 100,weniger als 1 Jahr,1,weiblich,keine,2,Auto,26,keine,Eigentum,1,Facharbeiter / Beamter,1,ja,2,single
Kein Konto,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Gebrauchtwagen,4675,unbekannt / kein Konto,weniger als 1 Jahr,1,weiblich,keine,4,Auto,20,keine,Miete,1,Facharbeiter / Beamter,1,nein,1,single
Kein Konto,10,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,1287,unbekannt / kein Konto,laenger als 7 Jahre,4,maennlich,weiterer Kreditnehmer,2,Immobilien,45,keine,Eigentum,1,ungelernt / angestellt,1,nein,1,single
Kein Konto,18,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,2515,weniger als 100,zwischen 1 und 4 Jahren,3,maennlich,keine,4,unbekannt / kein Vermoegen,43,keine,Eigentum,1,Facharbeiter / Beamter,1,ja,1,single
unter 200 DM,21,Kritisches Konto / Kredite bei anderer Bank,Moebel,2745,ueber 1.000,zwischen 4 und 7 Jahren,3,maennlich,keine,2,Auto,32,keine,Eigentum,2,Facharbeiter / Beamter,1,ja,1,single
Kein Konto,6,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,672,weniger als 100,arbeitslos,1,weiblich,keine,4,unbekannt / kein Vermoegen,54,keine,Eigentum,1,ungelernt/nicht angestellt,1,ja,1,single
unter 200 DM,36,Kritisches Konto / Kredite bei anderer Bank,Unterhaltungselektronik,3804,weniger als 100,zwischen 1 und 4 Jahren,4,weiblich,keine,1,Auto,42,keine,Eigentum,1,Facharbeiter / Beamter,1,ja,2,single
mehr als 200 DM,24,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,1344,unbekannt / kein Konto,zwischen 4 und 7 Jahren,4,maennlich,keine,2,unbekannt / kein Vermoegen,37,Bank,Eigentum,2,ungelernt / angestellt,2,nein,2,single
im Dispo,10,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,1038,weniger als 100,zwischen 4 und 7 Jahren,4,maennlich,weiterer Kreditnehmer,3,Immobilien,49,keine,Eigentum,2,Facharbeiter / Beamter,1,ja,1,single
Kein Konto,48,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,10127,zwischen 500 und 1.000,zwischen 1 und 4 Jahren,2,maennlich,keine,2,unbekannt / kein Vermoegen,44,Bank,kostenlos,1,Facharbeiter / Beamter,1,nein,2,single
Kein Konto,6,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,1543,ueber 1.000,zwischen 1 und 4 Jahren,4,maennlich,keine,2,unbekannt / kein Vermoegen,33,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,geschieden / getrennt
Kein Konto,30,Alle Kredite bei dieser Bank puenktlich bezahlt,Gebrauchtwagen,4811,unbekannt / kein Konto,zwischen 4 und 7 Jahren,2,weiblich,keine,4,Immobilien,24,Laden,Miete,1,ungelernt / angestellt,1,nein,1,single
im Dispo,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,727,zwischen 100 und 500,weniger als 1 Jahr,4,maennlich,keine,3,unbekannt / kein Vermoegen,33,keine,Eigentum,1,ungelernt / angestellt,1,ja,2,verheiratet / verwitwet
unter 200 DM,8,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,1237,weniger als 100,zwischen 1 und 4 Jahren,3,weiblich,keine,4,unbekannt / kein Vermoegen,24,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,2,single
unter 200 DM,9,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,276,weniger als 100,zwischen 1 und 4 Jahren,4,maennlich,keine,4,unbekannt / kein Vermoegen,22,keine,Miete,1,ungelernt / angestellt,1,nein,1,verheiratet / verwitwet
unter 200 DM,48,Alle Kredite bei dieser Bank puenktlich bezahlt,Anderes,5381,unbekannt / kein Konto,arbeitslos,3,maennlich,keine,4,unbekannt / kein Vermoegen,40,Bank,kostenlos,1,ungelernt/nicht angestellt,1,ja,1,single
Kein Konto,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,5511,zwischen 100 und 500,zwischen 1 und 4 Jahren,4,maennlich,keine,1,Auto,25,Laden,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
mehr als 200 DM,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,3749,weniger als 100,weniger als 1 Jahr,2,weiblich,keine,4,Auto,26,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
unter 200 DM,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,685,weniger als 100,zwischen 4 und 7 Jahren,2,maennlich,keine,3,Auto,25,Bank,Eigentum,1,ungelernt / angestellt,1,nein,2,verheiratet / verwitwet
mehr als 200 DM,4,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,1494,unbekannt / kein Konto,weniger als 1 Jahr,1,maennlich,keine,2,unbekannt / kein Vermoegen,29,keine,Eigentum,1,ungelernt / angestellt,2,nein,1,single
im Dispo,36,keine Kredite/puenktliche Zahlung,Moebel,2746,weniger als 100,laenger als 7 Jahre,4,maennlich,keine,4,Auto,31,Bank,Eigentum,1,Facharbeiter / Beamter,1,nein,2,single
im Dispo,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,708,weniger als 100,zwischen 1 und 4 Jahren,2,maennlich,Buerge,3,Immobilien,38,keine,Eigentum,1,ungelernt / angestellt,2,nein,1,single
unter 200 DM,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,4351,unbekannt / kein Konto,zwischen 1 und 4 Jahren,1,weiblich,keine,4,Immobilien,48,keine,Eigentum,1,ungelernt / angestellt,1,ja,1,single
Kein Konto,12,Kritisches Konto / Kredite bei anderer Bank,Ausbildung,701,weniger als 100,zwischen 1 und 4 Jahren,4,maennlich,keine,2,Auto,32,keine,Eigentum,2,Facharbeiter / Beamter,1,nein,1,single
im Dispo,15,Bestehender Kredit wird puenktlich bedient,Moebel,3643,weniger als 100,laenger als 7 Jahre,1,weiblich,keine,4,Immobilien,27,keine,Eigentum,2,ungelernt / angestellt,1,nein,1,single
unter 200 DM,30,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,4249,weniger als 100,arbeitslos,4,maennlich,keine,2,Auto,28,keine,Eigentum,2,"Management, selbstaendig, hochqualifiziert",1,nein,2,verheiratet / verwitwet
im Dispo,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,1938,weniger als 100,weniger als 1 Jahr,4,maennlich,keine,3,Immobilien,32,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,2,geschieden / getrennt
im Dispo,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Gebrauchtwagen,2910,weniger als 100,zwischen 4 und 7 Jahren,2,maennlich,keine,1,unbekannt / kein Vermoegen,34,keine,kostenlos,1,"Management, selbstaendig, hochqualifiziert",1,ja,1,single
im Dispo,18,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,2659,ueber 1.000,zwischen 1 und 4 Jahren,4,maennlich,keine,2,Auto,28,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
Kein Konto,18,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,1028,weniger als 100,zwischen 1 und 4 Jahren,4,weiblich,keine,3,unbekannt / kein Vermoegen,36,keine,Eigentum,2,Facharbeiter / Beamter,1,nein,1,single
im Dispo,8,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,3398,weniger als 100,zwischen 4 und 7 Jahren,1,maennlich,keine,4,unbekannt / kein Vermoegen,39,keine,Eigentum,2,ungelernt / angestellt,1,nein,1,single
Kein Konto,12,Kritisches Konto / Kredite bei anderer Bank,Moebel,5801,unbekannt / kein Konto,laenger als 7 Jahre,2,maennlich,keine,4,Immobilien,49,keine,Miete,1,Facharbeiter / Beamter,1,ja,1,single
Kein Konto,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,1525,ueber 1.000,zwischen 4 und 7 Jahren,4,weiblich,keine,3,Auto,34,keine,Eigentum,1,Facharbeiter / Beamter,2,ja,1,single
mehr als 200 DM,36,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,4473,weniger als 100,laenger als 7 Jahre,4,maennlich,keine,2,Auto,31,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
unter 200 DM,6,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,1068,weniger als 100,laenger als 7 Jahre,4,maennlich,keine,4,Auto,28,keine,Eigentum,1,Facharbeiter / Beamter,2,nein,1,single
im Dispo,24,Kritisches Konto / Kredite bei anderer Bank,Gebrauchtwagen,6615,weniger als 100,arbeitslos,2,maennlich,keine,4,unbekannt / kein Vermoegen,75,keine,kostenlos,2,"Management, selbstaendig, hochqualifiziert",1,ja,1,single
Kein Konto,18,Kritisches Konto / Kredite bei anderer Bank,Ausbildung,1864,zwischen 100 und 500,zwischen 1 und 4 Jahren,4,weiblich,keine,2,unbekannt / kein Vermoegen,30,keine,Eigentum,2,Facharbeiter / Beamter,1,nein,2,single
unter 200 DM,60,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,7408,zwischen 100 und 500,weniger als 1 Jahr,4,weiblich,keine,2,Immobilien,24,keine,Eigentum,1,"Management, selbstaendig, hochqualifiziert",1,nein,2,single
Kein Konto,48,Kritisches Konto / Kredite bei anderer Bank,Gebrauchtwagen,11590,zwischen 100 und 500,zwischen 1 und 4 Jahren,2,weiblich,keine,4,Auto,24,Bank,Miete,2,ungelernt / angestellt,1,nein,2,single
im Dispo,24,Kritisches Konto / Kredite bei anderer Bank,Moebel,4110,weniger als 100,laenger als 7 Jahre,3,maennlich,keine,4,unbekannt / kein Vermoegen,23,Bank,Miete,2,Facharbeiter / Beamter,2,nein,2,single
im Dispo,6,Kritisches Konto / Kredite bei anderer Bank,Moebel,3384,weniger als 100,zwischen 1 und 4 Jahren,1,maennlich,keine,4,unbekannt / kein Vermoegen,44,keine,Miete,1,"Management, selbstaendig, hochqualifiziert",1,ja,2,geschieden / getrennt
unter 200 DM,13,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,2101,weniger als 100,weniger als 1 Jahr,2,weiblich,Buerge,4,Immobilien,23,keine,Eigentum,1,ungelernt / angestellt,1,nein,1,single
im Dispo,15,Alle Kredite bei dieser Bank puenktlich bezahlt,Haushaltsgeraete,1275,unbekannt / kein Konto,zwischen 1 und 4 Jahren,4,weiblich,keine,2,Auto,24,keine,Miete,1,Facharbeiter / Beamter,1,nein,2,single
